status;price;bed;bath;acre_lot;city;state;zip_code;house_size;sold_date
for_sale;695000;;;1.89;Aguadilla;Puerto Rico;603;;
for_sale;98000;5;2;4.55;Maricao;Puerto Rico;606;2156;
for_sale;55000;5;2;5.14;Maricao;Puerto Rico;606;2156;
for_sale;75000;5;2;4.86;Maricao;Puerto Rico;606;1563;
for_sale;80000;3;1;0.35;Maricao;Puerto Rico;606;915;
for_sale;160000;;;12.25;Maricao;Puerto Rico;606;;
for_sale;46900;3;1;;Mayaguez;Puerto Rico;680;982;
for_sale;125000;8;5;0.09;Hormigueros;Puerto Rico;660;2000;
for_sale;95000;2;2;0.15;Guanica;Puerto Rico;653;1393;
for_sale;330000;3;2;1.75;Cabo Rojo;Puerto Rico;623;1620;
for_sale;115000;3;2;0.09;Mayaguez;Puerto Rico;680;1760;
for_sale;285000;2;1;4.74;Cabo Rojo;Puerto Rico;623;1000;
for_sale;215000;7;4;0.11;Mayaguez;Puerto Rico;680;2200;
for_sale;115000;3;2;;Cabo Rojo;Puerto Rico;623;1205;
for_sale;140000;3;2;0.14;Mayaguez;Puerto Rico;680;1200;
for_sale;87000;3;1;0.04;Mayaguez;Puerto Rico;682;;
for_sale;250000;4;2;0.08;Cabo Rojo;Puerto Rico;623;3052;
for_sale;70000;3;1;0.08;San German;Puerto Rico;683;894;
for_sale;190000;5;5;0.08;Mayaguez;Puerto Rico;680;1600;
for_sale;150000;3;1;0.07;San German;Puerto Rico;683;363;
for_sale;750000;12;6;0.52;Cabo Rojo;Puerto Rico;623;4800;
for_sale;125000;;1;;Mayaguez;Puerto Rico;682;390;
for_sale;950000;9;8;0.17;Rincon;Puerto Rico;677;3852;
for_sale;1200000;5;4;1.8;Aguada;Puerto Rico;677;6000;
for_sale;495000;4;3;0.4;Lajas;Puerto Rico;667;6500;
for_sale;90000;3;1;0.19;Mayaguez;Puerto Rico;682;778;
for_sale;395000;3;2;0.25;Cabo Rojo;Puerto Rico;623;2800;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;389000;2;2;;Cabo Rojo;Puerto Rico;623;1356;
for_sale;45000;;;0.2;Cabo Rojo;Puerto Rico;623;;
for_sale;65000;;;0.26;Cabo Rojo;Puerto Rico;623;;
for_sale;80000;;;0.49;Cabo Rojo;Puerto Rico;623;;
for_sale;120000;;;2.82;Cabo Rojo;Puerto Rico;623;;
for_sale;70000;;;0.28;Cabo Rojo;Puerto Rico;623;;
for_sale;391000;;;20.4;Hormigueros;Puerto Rico;660;;
for_sale;160000;;;14.34;Cabo Rojo;Puerto Rico;623;;
for_sale;290000;;;16.22;Cabo Rojo;Puerto Rico;623;;
for_sale;835000;;;17.97;Hormigueros;Puerto Rico;660;;
for_sale;159000;;;0.44;Mayaguez;Puerto Rico;680;;
for_sale;79000;;;0.25;Anasco;Puerto Rico;610;;
for_sale;149900;3;2;0.15;Anasco;Puerto Rico;610;1687;
for_sale;106000;2;1;0.13;Anasco;Puerto Rico;610;826;
for_sale;165000;5;3;0.11;Anasco;Puerto Rico;610;2327;
for_sale;499000;8;6;0.13;Anasco;Puerto Rico;610;;
for_sale;140000;;;0.37;Anasco;Puerto Rico;610;;
for_sale;450000;4;7;0.76;Isabela;Puerto Rico;662;4000;
for_sale;485000;4;3;0.21;Isabela;Puerto Rico;662;3066;
for_sale;1800000;6;3;0.97;Isabela;Puerto Rico;662;10000;
for_sale;975000;6;4;16;Isabela;Puerto Rico;662;3739;
for_sale;950000;4;2;0.49;Rincon;Puerto Rico;677;2450;
for_sale;349000;3;2;;Rincon;Puerto Rico;677;1688;
for_sale;39900;3;1;;Arecibo;Puerto Rico;612;878;
for_sale;29900;3;1;;Arecibo;Puerto Rico;612;878;
for_sale;475000;1;3;0.13;Arecibo;Puerto Rico;612;10000;
for_sale;200000;4;3;0.24;Arecibo;Puerto Rico;612;3413;
for_sale;84900;4;2;0.1;Arecibo;Puerto Rico;612;;
for_sale;148000;5;2;0.49;Arecibo;Puerto Rico;612;2058;
for_sale;39500;1;1;0.14;Arecibo;Puerto Rico;612;800;
for_sale;220000;6;3;0.45;Arecibo;Puerto Rico;612;2900;
for_sale;75000;3;2;0.27;Arecibo;Puerto Rico;612;1100;
for_sale;110000;4;2;0.13;Arecibo;Puerto Rico;612;1000;
for_sale;150000;7;4;0.49;Arecibo;Puerto Rico;612;800;
for_sale;69900;4;2;0.09;Arecibo;Puerto Rico;612;;
for_sale;79000;6;3;0.09;Arecibo;Puerto Rico;612;2472;
for_sale;65000;3;1;0.09;Arecibo;Puerto Rico;612;1044;
for_sale;179000;5;3;0.08;Arecibo;Puerto Rico;612;2200;
for_sale;145000;3;2;0.86;Arecibo;Puerto Rico;612;3500;
for_sale;79000;3;1;0.13;Arecibo;Puerto Rico;612;1262;
for_sale;360000;5;2;0.42;Arecibo;Puerto Rico;612;6000;
for_sale;50000;;;0.03;Arecibo;Puerto Rico;612;;
for_sale;134900;;;0.25;Arecibo;Puerto Rico;612;1856;
for_sale;94600;3;1;0.08;Arecibo;Puerto Rico;612;1009;
for_sale;59900;;;0.34;Arecibo;Puerto Rico;612;;
for_sale;239000;7;3;0.31;Arecibo;Puerto Rico;612;2715;
for_sale;279000;3;3;0.19;Arecibo;Puerto Rico;612;2872;
for_sale;100000;3;1;4.89;Arecibo;Puerto Rico;612;1028;
for_sale;89000;;;1.48;Arecibo;Puerto Rico;612;;
for_sale;168000;4;3;0.25;Arecibo;Puerto Rico;612;1600;
for_sale;150000;3;2;0.29;Arecibo;Puerto Rico;612;1604;
for_sale;60000;;;0.26;Arecibo;Puerto Rico;612;;
for_sale;140000;8;2;0.13;Arecibo;Puerto Rico;612;1500;
for_sale;70000;2;1;0.1;Arecibo;Puerto Rico;612;680;
for_sale;80000;3;1;0.06;Arecibo;Puerto Rico;612;750;
for_sale;135000;5;2;0.13;Arecibo;Puerto Rico;612;1500;
for_sale;215000;3;3;0.24;Arecibo;Puerto Rico;612;2183;
for_sale;42900;;;0.17;Camuy;Puerto Rico;612;;
for_sale;49900;;;0.25;Arecibo;Puerto Rico;612;;
for_sale;138000;3;2;0.25;Arecibo;Puerto Rico;612;1000;
for_sale;289000;5;4;0.2;Arecibo;Puerto Rico;612;2832;
for_sale;132000;3;2;0.25;Arecibo;Puerto Rico;612;1000;
for_sale;197000;4;4;0.14;Arecibo;Puerto Rico;612;1500;
for_sale;1200000;;;0.71;Arecibo;Puerto Rico;612;;
for_sale;185000;5;3;0.07;Manati;Puerto Rico;674;1700;
for_sale;200000;6;4;0.37;Hatillo;Puerto Rico;659;3400;
for_sale;210000;3;2;0.25;Morovis;Puerto Rico;687;2500;
for_sale;105000;3;1;0.08;Manati;Puerto Rico;674;921;
for_sale;113600;3;1;0.07;Manati;Puerto Rico;674;800;
for_sale;174900;3;2;0.08;Barceloneta;Puerto Rico;617;1195;
for_sale;3000000;;6;1.38;Quebradillas;Puerto Rico;678;3000;
for_sale;134000;3;2;0.07;Vega Baja;Puerto Rico;693;895;
for_sale;245000;4;2;0.25;Vega Baja;Puerto Rico;693;2038;
for_sale;161000;4;2;0.09;Caguas;Puerto Rico;727;1100;
for_sale;225000;3;2;;Vega Baja;Puerto Rico;693;1217;
for_sale;290000;4;2;0.22;Manati;Puerto Rico;674;2236;
for_sale;375000;4;3;0.21;Barceloneta;Puerto Rico;617;2961;
for_sale;425000;3;2;0.21;Camuy;Puerto Rico;627;2400;
for_sale;1100000;5;3;0.56;Quebradillas;Puerto Rico;678;3000;
for_sale;418000;5;3;0.22;Hatillo;Puerto Rico;659;3650;
for_sale;365000;5;3;1.46;Morovis;Puerto Rico;687;2366;
for_sale;55000;;;0.2;Hatillo;Puerto Rico;659;;
for_sale;62000;;;0.21;Hatillo;Puerto Rico;659;;
for_sale;350000;;;10.68;Hatillo;Puerto Rico;659;;
for_sale;95000;5;2;0.16;Quebradillas;Puerto Rico;95000;1757;
for_sale;64900;;;0.29;Camuy;Puerto Rico;627;;
for_sale;49900;3;2;0.27;Barceloneta;Puerto Rico;617;1150;
for_sale;70000;3;1;0.05;Barceloneta;Puerto Rico;617;;
for_sale;90000;2;2;0.09;Barceloneta;Puerto Rico;617;955;
for_sale;111000;3;2;0.08;Barceloneta;Puerto Rico;617;1015;
for_sale;114400;3;2;0.09;Barceloneta;Puerto Rico;617;1105;
for_sale;113500;3;2;0.14;Barceloneta;Puerto Rico;617;955;
for_sale;59200;2;1;0.08;Dorado;Puerto Rico;646;700;
for_sale;63800;3;1;0.07;Toa Baja;Puerto Rico;949;950;
for_sale;45000;3;2;0.09;Toa Alta;Puerto Rico;953;1000;
for_sale;55000;2;2;0.11;Dorado;Puerto Rico;646;800;
for_sale;100000;5;3;0.61;Vega Alta;Puerto Rico;692;1400;
for_sale;80000;4;2;0.19;Corozal;Puerto Rico;783;1500;
for_sale;55000;2;2;1.22;Naranjito;Puerto Rico;719;1500;
for_sale;157500;4;2;0.08;Toa Alta;Puerto Rico;953;1650;
for_sale;2000000;3;3;0.19;Dorado;Puerto Rico;646;3500;
for_sale;11500000;4;5;1.98;Dorado;Puerto Rico;646;7000;
for_sale;3500000;4;4;0.24;Dorado;Puerto Rico;646;2500;
for_sale;270000;3;3;0.3;Toa Alta;Puerto Rico;953;2400;
for_sale;5000000;3;4;0.99;Dorado;Puerto Rico;646;3500;
for_sale;25000;;;0.15;Toa Alta;Puerto Rico;953;;
for_sale;172000;6;4;0.2;Naranjito;Puerto Rico;719;1880;
for_sale;65000;6;4;0.1;Toa Alta;Puerto Rico;953;2600;
for_sale;1325000;4;3;0.19;Dorado;Puerto Rico;646;2500;
for_sale;625000;3;2;;Vega Alta;Puerto Rico;692;2096;
for_sale;465000;3;2;0.27;Dorado;Puerto Rico;646;2200;
for_sale;575000;3;3;0.52;Dorado;Puerto Rico;646;1500;
for_sale;1100000;4;3;0.14;Dorado;Puerto Rico;646;3500;
for_sale;550000;3;2;0.1;Dorado;Puerto Rico;646;1800;
for_sale;895000;4;3;0.12;Dorado;Puerto Rico;646;2490;
for_sale;495000;3;2;;Vega Alta;Puerto Rico;646;1564;
for_sale;635000;3;2;0.07;Vega Alta;Puerto Rico;692;2100;
for_sale;1125000;2;2;;Dorado;Puerto Rico;646;1172;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;134000;3;1;0.08;Cabo Rojo;Puerto Rico;622;900;
for_sale;365000;4;2;0.25;Cabo Rojo;Puerto Rico;622;2800;
for_sale;260000;3;2;0.2;Cabo Rojo;Puerto Rico;622;2214;
for_sale;75000;;;0.19;Boqueron;Puerto Rico;622;;
for_sale;460000;4;2;0.22;Cabo Rojo;Puerto Rico;622;3328;
for_sale;250000;;;0.99;Cabo Rojo;Puerto Rico;622;;
for_sale;1321000;;;10.29;Cabo Rojo;Puerto Rico;622;;
for_sale;63000;4;2;0.48;Hormigueros;Puerto Rico;660;1233;
for_sale;75000;3;2;0.12;Mayaguez;Puerto Rico;680;1200;
for_sale;325000;5;5;0.19;Cabo Rojo;Puerto Rico;623;4000;
for_sale;499900;4;2;10.76;Yauco;Puerto Rico;698;;
for_sale;101800;3;2;0.07;Cabo Rojo;Puerto Rico;623;1000;
for_sale;25000;1;1;0.12;Cabo Rojo;Puerto Rico;623;491;
for_sale;205000;3;3;0.27;Guanica;Puerto Rico;653;976;
for_sale;135000;4;2;0.12;Hormigueros;Puerto Rico;660;1163;
for_sale;104000;3;2;0.08;Mayaguez;Puerto Rico;682;1175;
for_sale;275000;3;2;0.97;Lajas;Puerto Rico;667;1200;
for_sale;182000;;;1.4;Cabo Rojo;Puerto Rico;623;;
for_sale;1400000;;;6.44;Cabo Rojo;Puerto Rico;623;;
for_sale;155000;;;5.78;San German;Puerto Rico;683;;
for_sale;115000;;;0.42;Cabo Rojo;Puerto Rico;636;;
for_sale;100000;3;2;0.12;Cabo Rojo;Puerto Rico;623;1044;
for_sale;75000;3;1;0.03;Cabo Rojo;Puerto Rico;623;980;
for_sale;122000;4;2;0.19;Cabo Rojo;Puerto Rico;623;1400;
for_sale;150000;3;1;0.16;Cabo Rojo;Puerto Rico;623;936;
for_sale;325000;3;4;0.23;Cabo Rojo;Puerto Rico;623;3089;
for_sale;130000;3;4;0.09;Cabo Rojo;Puerto Rico;623;2064;
for_sale;139900;2;2;0.46;Cabo Rojo;Puerto Rico;623;1242;
for_sale;395000;8;5;0.48;Cabo Rojo;Puerto Rico;623;8368;
for_sale;375000;5;4;0.22;Cabo Rojo;Puerto Rico;623;2700;
for_sale;2500000;6;8;9.65;Cabo Rojo;Puerto Rico;623;10244;
for_sale;385000;3;3;0.26;Cabo Rojo;Puerto Rico;623;2069;
for_sale;600000;8;7;0.43;Cabo Rojo;Puerto Rico;623;3192;
for_sale;195000;2;2;;Cabo Rojo;Puerto Rico;623;1377;
for_sale;1995000;5;6;5;Cabo Rojo;Puerto Rico;623;10000;
for_sale;220000;1;1;;Cabo Rojo;Puerto Rico;623;736;
for_sale;81500;;;0.4;Cabo Rojo;Puerto Rico;623;;
for_sale;3000000;6;6;7.8;Cabo Rojo;Puerto Rico;623;8000;
for_sale;54000;;;0.73;Cabo Rojo;Puerto Rico;623;;
for_sale;275000;;;3.57;Cabo Rojo;Puerto Rico;623;;
for_sale;950000;;;112.66;Cabo Rojo;Puerto Rico;623;;
for_sale;375000;;;0.52;Cabo Rojo;Puerto Rico;623;;
for_sale;840000;;;0.96;Cabo Rojo;Puerto Rico;623;;
for_sale;375000;;;0.51;Cabo Rojo;Puerto Rico;623;;
for_sale;70000;3;1;0.04;Penuelas;Puerto Rico;624;913;
for_sale;799000;5;3;0.49;Penuelas;Puerto Rico;624;2500;
for_sale;74500;3;1;0.08;Penuelas;Puerto Rico;624;917;
for_sale;70000;3;2;0.09;San Sebastian;Puerto Rico;685;1120;
for_sale;85000;3;2;0.08;Ponce;Puerto Rico;728;1500;
for_sale;69900;3;3;0.23;Utuado;Puerto Rico;641;1326;
for_sale;330000;3;2;0.97;Hatillo;Puerto Rico;659;2111;
for_sale;145000;3;2;;Ponce;Puerto Rico;716;1296;
for_sale;135000;3;2;;Carolina;Puerto Rico;987;1248;
for_sale;40000;;;0.99;Utuado;Puerto Rico;641;;
for_sale;329000;;;1.42;Utuado;Puerto Rico;641;;
for_sale;69500;3;1;0.04;Camuy;Puerto Rico;627;1460;
for_sale;135000;4;3;0.24;Camuy;Puerto Rico;627;1500;
for_sale;74000;3;1;0.38;Camuy;Puerto Rico;627;900;
for_sale;109000;3;1;1.94;Camuy;Puerto Rico;627;1400;
for_sale;168100;3;3;0.13;Camuy;Puerto Rico;627;1300;
for_sale;110000;3;1;0.1;Camuy;Puerto Rico;627;800;
for_sale;250000;;;7.8;Camuy;Puerto Rico;627;;
for_sale;55000;;;0.27;Camuy;Puerto Rico;627;;
for_sale;50000;;;0.25;Camuy;Puerto Rico;627;;
for_sale;305000;;;9.43;Camuy;Puerto Rico;627;;
for_sale;145000;;;2.52;Camuy;Puerto Rico;627;;
for_sale;90000;;;0.55;Camuy;Puerto Rico;627;;
for_sale;105000;;;0.47;Camuy;Puerto Rico;627;;
for_sale;85000;;;0.67;Camuy;Puerto Rico;627;;
for_sale;130000;3;2;0.1;Sabana Grande;Puerto Rico;637;1290;
for_sale;300000;8;4;0.45;Sabana Grande;Puerto Rico;637;2852;
for_sale;54900;5;2;1.21;Sabana Grande;Puerto Rico;637;1898;
for_sale;250000;2;1;0.2;Sabana Grande;Puerto Rico;637;1275;
for_sale;435000;3;3;0.36;Sabana Grande;Puerto Rico;637;20132;
for_sale;80000;;;0.15;Sabana Grande;Puerto Rico;637;;
for_sale;575000;;;262;Sabana Grande;Puerto Rico;637;;
for_sale;89000;3;2;1.17;Ciales;Puerto Rico;638;1000;
for_sale;275000;3;2;1.48;Ciales;Puerto Rico;638;1820;
for_sale;65000;3;2;0.1;Ciales;Puerto Rico;638;1100;
for_sale;225000;4;3;2.23;Ciales;Puerto Rico;638;3344;
for_sale;98000;3;1;1.16;Ciales;Puerto Rico;638;1100;
for_sale;55000;3;2;0.09;Ciales;Puerto Rico;638;1092;
for_sale;65000;3;2;0.09;Ciales;Puerto Rico;638;1100;
for_sale;23000;;;0.2;Ciales;Puerto Rico;638;;
for_sale;65000;;;1.94;Ciales;Puerto Rico;638;;
for_sale;290000;;;50.26;Ciales;Puerto Rico;638;;
for_sale;47000;;;0.68;Ciales;Puerto Rico;638;;
for_sale;106700;3;2;0.97;Utuado;Puerto Rico;641;1205;
for_sale;180000;3;2;10.44;Utuado;Puerto Rico;641;1251;
for_sale;550000;6;3;28.17;Utuado;Puerto Rico;641;5000;
for_sale;70000;2;1;0.22;Utuado;Puerto Rico;641;845;
for_sale;198500;4;2;2.91;Utuado;Puerto Rico;641;1000;
for_sale;75000;5;3;0.1;Utuado;Puerto Rico;641;950;
for_sale;219900;4;2;2.06;Utuado;Puerto Rico;641;1100;
for_sale;95000;3;2;0.86;Utuado;Puerto Rico;641;1700;
for_sale;99000;13;4;0.2;Utuado;Puerto Rico;641;600;
for_sale;75000;3;1;0.28;Utuado;Puerto Rico;641;781;
for_sale;600000;6;3;30;Utuado;Puerto Rico;641;5000;
for_sale;120000;3;1;0.26;Utuado;Puerto Rico;641;781;
for_sale;108000;4;1;0.94;Utuado;Puerto Rico;641;13818;
for_sale;550000;;;135;Utuado;Puerto Rico;641;;
for_sale;200000;;;18.66;Utuado;Puerto Rico;641;;
for_sale;69995;;;2.91;Utuado;Puerto Rico;641;;
for_sale;60000;;;1.96;Utuado;Puerto Rico;641;;
for_sale;550000;;;139;Utuado;Puerto Rico;641;;
for_sale;12000000;4;7;0.37;Dorado;Puerto Rico;646;7096;
for_sale;750000;3;3;0.24;Dorado;Puerto Rico;646;2377;
for_sale;550000;3;3;0.16;Dorado;Puerto Rico;646;2000;
for_sale;950000;4;3;0.14;Dorado;Puerto Rico;646;2850;
for_sale;1150000;5;3;0.14;Dorado;Puerto Rico;646;3500;
for_sale;5500000;3;2;0.24;Dorado;Puerto Rico;646;2000;
for_sale;16000000;4;7;0.75;Dorado;Puerto Rico;646;7000;
for_sale;995000;4;3;0.25;Dorado;Puerto Rico;646;2900;
for_sale;595000;2;2;;Dorado;Puerto Rico;646;1155;
for_sale;1275000;4;4;0.25;Dorado;Puerto Rico;646;2900;
for_sale;1135000;4;3;0.15;Dorado;Puerto Rico;646;2850;
for_sale;4995000;3;4;0.22;Dorado;Puerto Rico;646;3100;
for_sale;2500000;4;4;0.25;Dorado;Puerto Rico;646;3509;
for_sale;5950000;3;5;0.23;Dorado;Puerto Rico;646;3200;
for_sale;2849000;4;5;0.21;Dorado;Puerto Rico;646;5000;
for_sale;850000;4;2;0.21;Dorado;Puerto Rico;646;999;
for_sale;6495000;4;4;0.15;Dorado;Puerto Rico;646;6703;
for_sale;1300000;7;4;;Dorado;Puerto Rico;646;2767;
for_sale;6350000;3;4;0.06;Dorado;Puerto Rico;646;2500;
for_sale;300000;4;4;0.07;Dorado;Puerto Rico;646;3090;
for_sale;5900000;3;4;0.09;Dorado;Puerto Rico;646;3914;
for_sale;1775000;4;3;0.23;Dorado;Puerto Rico;646;3337;
for_sale;1795000;4;4;0.23;Dorado;Puerto Rico;646;2900;
