age;workclass;education;status;occupation;relationship;race;sex;weekhours;country;salary;birthday
38;Private;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;60;United-States;183333;1982-12-10
52;Private;9;Separated;Other-service;Unmarried;Black;Female;20;United-States;35187;1968-03-19
33;Federal-gov;5;Married-civ-spouse;Farming-fishing;Husband;Black;Male;40;United-States;25468;1987-09-27
41;Private;7;Married-civ-spouse;Transport-moving;Husband;White;Male;40;United-States;29406;1979-06-24
57;Private;9;Divorced;Tech-support;Unmarried;White;Female;40;United-States;36593;1963-06-05
54;Local-gov;13;Married-civ-spouse;Tech-support;Husband;White;Male;40;United-States;201666;1966-03-25
17;Private;9;Never-married;Craft-repair;Own-child;White;Male;40;United-States;25343;2003-06-09
52;?;10;Married-civ-spouse;?;Husband;Asian-Pac-Islander;Male;60;South;162500;1968-05-17
37;Private;9;Divorced;Exec-managerial;Not-in-family;White;Male;80;United-States;30968;1983-06-27
47;Private;9;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;33781;1973-07-03
21;Local-gov;12;Never-married;Protective-serv;Not-in-family;White;Male;52;United-States;28625;1999-06-15
18;Private;10;Never-married;Sales;Own-child;Black;Male;44;United-States;26250;2002-07-07
43;Private;13;Divorced;Exec-managerial;Own-child;White;Male;40;United-States;38281;1977-02-07
28;Federal-gov;10;Married-civ-spouse;Adm-clerical;Own-child;White;Male;40;United-States;29375;1992-02-08
20;State-gov;10;Married-civ-spouse;Other-service;Husband;Black;Male;15;United-States;26875;2000-11-16
46;Private;7;Never-married;Machine-op-inspct;Unmarried;White;Male;40;Puerto-Rico;30500;1974-07-28
19;Private;10;Never-married;Machine-op-inspct;Own-child;White;Male;40;United-States;26562;2001-02-24
17;Private;9;Married-AF-spouse;Adm-clerical;Wife;White;Female;25;United-States;25343;2003-06-29
29;Private;10;Married-civ-spouse;Sales;Husband;White;Male;38;?;114583;1991-01-08
46;Self-emp-not-inc;12;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;38000;1974-03-17
29;Private;5;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;43;United-States;24843;1991-07-05
51;Self-emp-not-inc;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;41531;1969-03-10
22;Private;13;Married-civ-spouse;Tech-support;Husband;White;Male;50;United-States;29750;1998-06-27
47;Private;9;Separated;Adm-clerical;Unmarried;White;Female;40;United-States;33781;1973-05-02
23;Private;9;Never-married;Handlers-cleaners;Not-in-family;White;Male;35;United-States;27031;1997-04-22
55;Federal-gov;13;Married-civ-spouse;Prof-specialty;Husband;Black;Male;40;United-States;204375;1965-08-03
51;Private;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;38;United-States;34906;1969-11-15
42;Private;14;Divorced;Exec-managerial;Unmarried;White;Female;40;United-States;39250;1978-02-26
39;State-gov;11;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;34093;1981-05-13
27;Private;11;Never-married;Prof-specialty;Not-in-family;White;Male;43;United-States;29968;1993-10-12
23;Private;10;Married-civ-spouse;Exec-managerial;Wife;Other;Female;40;United-States;27812;1997-06-09
16;Private;9;Never-married;Other-service;Own-child;White;Female;30;?;25062;2004-08-01
45;Private;15;Married-civ-spouse;Prof-specialty;Wife;White;Female;60;Honduras;196875;1975-02-07
48;Federal-gov;13;Divorced;Exec-managerial;Not-in-family;White;Male;55;United-States;185416;1972-12-15
45;Self-emp-inc;9;Divorced;Exec-managerial;Not-in-family;White;Male;60;United-States;33218;1975-10-07
41;Private;10;Married-civ-spouse;Tech-support;Husband;White;Male;40;United-States;139583;1979-10-18
44;Private;3;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;Mexico;24312;1976-07-03
33;Private;11;Married-civ-spouse;Other-service;Husband;White;Male;40;Puerto-Rico;32031;1987-04-21
39;Private;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;48;United-States;31531;1981-03-14
28;Private;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;United-States;28437;1992-02-11
28;Private;13;Married-civ-spouse;Sales;Husband;White;Male;40;United-States;32187;1992-01-11
30;?;4;Married-spouse-absent;?;Not-in-family;White;Male;40;?;24000;1990-11-05
46;Private;9;Married-civ-spouse;Transport-moving;Husband;White;Male;40;United-States;33500;1974-10-30
40;Private;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;45;United-States;190000;1980-12-22
27;Private;10;Divorced;Tech-support;Not-in-family;White;Male;58;United-States;29062;1993-06-28
34;Private;9;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;30125;1986-12-21
26;Private;10;Divorced;Adm-clerical;Not-in-family;White;Female;40;United-States;28750;1994-02-23
51;Private;9;Married-civ-spouse;Adm-clerical;Wife;White;Female;40;United-States;149375;1969-01-15
47;Self-emp-inc;10;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;United-States;152083;1973-10-18
23;?;10;Never-married;?;Own-child;White;Male;40;United-States;27812;1997-02-19
17;Private;10;Never-married;Prof-specialty;Own-child;White;Male;32;United-States;25937;2003-10-29
29;Private;13;Separated;Sales;Own-child;Black;Female;40;United-States;32593;1991-11-09
27;Self-emp-not-inc;13;Married-civ-spouse;Sales;Husband;White;Male;70;United-States;128541;1993-10-23
21;Private;10;Never-married;Machine-op-inspct;Not-in-family;White;Male;40;United-States;27187;1999-08-20
77;Private;10;Married-civ-spouse;Prof-specialty;Other-relative;White;Male;20;United-States;44687;1943-06-01
25;Private;9;Never-married;Other-service;Own-child;White;Male;40;Mexico;27593;1995-03-22
38;Private;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;United-States;35000;1982-10-22
65;?;6;Married-civ-spouse;?;Husband;White;Male;2;United-States;32562;1955-07-12
16;Private;7;Never-married;Other-service;Own-child;White;Female;22;United-States;23937;2004-07-28
29;Local-gov;4;Married-civ-spouse;Farming-fishing;Husband;White;Male;40;United-States;23875;1991-08-08
16;Private;9;Never-married;Sales;Not-in-family;White;Male;30;United-States;25062;2004-05-29
50;Private;13;Married-civ-spouse;Other-service;Husband;White;Male;40;Cuba;41125;1970-05-07
44;Private;9;Married-civ-spouse;Other-service;Wife;White;Female;40;United-States;32937;1976-06-04
57;Private;9;Married-civ-spouse;Sales;Husband;White;Male;48;United-States;36593;1963-04-01
42;Private;9;Divorced;Craft-repair;Not-in-family;White;Female;40;United-States;132500;1978-02-13
51;Private;9;Divorced;Sales;Own-child;White;Female;35;United-States;34906;1969-01-20
47;Local-gov;9;Married-civ-spouse;Protective-serv;Husband;White;Male;40;United-States;141875;1973-12-21
31;Private;14;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;United-States;34437;1989-07-11
28;Private;5;Never-married;Sales;Not-in-family;White;Male;40;United-States;24687;1992-12-11
41;Federal-gov;16;Never-married;Prof-specialty;Not-in-family;White;Female;50;United-States;193333;1979-08-19
55;Private;11;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;39593;1965-03-25
35;Private;10;Divorced;Craft-repair;Unmarried;White;Female;40;United-States;31562;1985-07-31
26;Private;10;Divorced;Machine-op-inspct;Unmarried;Black;Female;25;United-States;28750;1994-07-11
28;Private;9;Married-civ-spouse;Sales;Wife;Asian-Pac-Islander;Female;35;?;28437;1992-09-25
32;Local-gov;13;Married-civ-spouse;Protective-serv;Husband;White;Male;40;United-States;142083;1988-09-18
27;Local-gov;10;Never-married;Handlers-cleaners;Not-in-family;White;Male;50;United-States;29062;1993-01-20
46;Self-emp-not-inc;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;60;United-States;210000;1974-07-09
35;Private;10;Married-civ-spouse;Sales;Husband;White;Male;48;United-States;127083;1985-12-16
46;Private;12;Divorced;Exec-managerial;Unmarried;White;Female;40;England;38000;1974-11-15
30;Federal-gov;9;Never-married;Other-service;Own-child;Black;Male;40;United-States;29000;1990-08-30
74;Private;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;United-States;271666;1946-10-09
42;Private;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;United-States;169166;1978-10-30
45;Self-emp-not-inc;14;Never-married;Prof-specialty;Not-in-family;White;Female;50;United-States;40562;1975-03-01
18;Private;10;Never-married;Tech-support;Own-child;White;Female;40;United-States;26250;2002-10-22
27;Private;9;Never-married;Craft-repair;Not-in-family;White;Male;40;United-States;28156;1993-05-27
30;Self-emp-inc;9;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;110000;1990-10-10
15;?;6;Never-married;?;Own-child;White;Female;32;United-States;23187;2005-10-24
28;Private;7;Never-married;Handlers-cleaners;Own-child;White;Male;40;United-States;26562;1992-08-07
29;Local-gov;9;Never-married;Adm-clerical;Not-in-family;White;Female;40;United-States;28718;1991-10-09
40;Private;9;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;United-States;31812;1980-09-11
22;Private;13;Never-married;Sales;Other-relative;White;Male;40;United-States;29750;1998-08-26
36;Private;15;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;168750;1984-10-07
54;Self-emp-not-inc;9;Married-civ-spouse;Other-service;Husband;White;Male;50;Canada;155000;1966-03-01
26;Private;10;Married-civ-spouse;Sales;Wife;White;Female;25;United-States;28750;1994-12-04
34;Private;9;Never-married;Machine-op-inspct;Own-child;White;Female;40;United-States;30125;1986-05-01
51;Private;5;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;50;United-States;28281;1969-10-16
54;Self-emp-inc;10;Married-civ-spouse;Sales;Husband;White;Male;50;United-States;37500;1966-04-23
47;Local-gov;11;Married-civ-spouse;Craft-repair;Husband;Black;Male;40;United-States;162291;1973-12-10
53;Private;10;Married-civ-spouse;Sales;Husband;White;Male;56;United-States;37187;1967-04-10
20;Private;9;Never-married;Craft-repair;Not-in-family;White;Male;41;United-States;26187;2000-02-28
19;Private;10;Never-married;Other-service;Own-child;White;Female;40;United-States;26562;2001-01-06
38;Private;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;United-States;36250;1982-12-21
28;Private;13;Never-married;Exec-managerial;Own-child;Black;Male;40;Germany;32187;1992-03-22
27;State-gov;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;United-States;128541;1993-05-21
17;Private;10;Never-married;Other-service;Own-child;Black;Male;35;United-States;25937;2003-11-28
45;Private;13;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;United-States;177291;1975-05-30
18;Private;10;Never-married;Adm-clerical;Own-child;White;Female;28;United-States;26250;2002-03-14
29;Private;12;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;United-States;127500;1991-01-08
33;?;9;Married-civ-spouse;?;Husband;White;Male;40;United-States;29843;1987-02-12
37;Private;10;Divorced;Craft-repair;Not-in-family;White;Male;40;United-States;32187;1983-01-17
26;Private;12;Never-married;Sales;Not-in-family;White;Female;60;United-States;30500;1994-04-08
22;Private;9;Never-married;Other-service;Not-in-family;White;Female;40;United-States;26750;1998-02-14
36;Self-emp-not-inc;9;Married-civ-spouse;Craft-repair;Husband;White;Male;35;United-States;30687;1984-07-03
35;Private;13;Married-civ-spouse;Sales;Husband;White;Male;50;United-States;35031;1985-11-29
44;Private;12;Divorced;Tech-support;Not-in-family;Black;Female;36;United-States;37250;1976-06-24
36;Federal-gov;14;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;Iran;160833;1984-07-31
41;Self-emp-not-inc;9;Married-civ-spouse;Craft-repair;Husband;White;Male;60;United-States;32093;1979-04-18
25;Private;11;Married-civ-spouse;Adm-clerical;Wife;White;Female;35;United-States;29281;1995-02-12
18;Private;10;Never-married;Sales;Own-child;White;Male;20;United-States;26250;2002-10-23
47;Private;10;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;40;United-States;152083;1973-04-23
59;Self-emp-inc;9;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;37156;1961-05-07
25;Private;10;Never-married;Sales;Own-child;White;Female;40;United-States;28437;1995-01-10
17;Private;10;Never-married;Other-service;Own-child;White;Male;30;Mexico;25937;2003-07-28
43;Private;11;Never-married;Prof-specialty;Not-in-family;White;Female;40;United-States;153125;1977-06-24
68;Private;10;Never-married;Tech-support;Other-relative;White;Male;40;United-States;41875;1952-06-02
29;Private;9;Never-married;Transport-moving;Unmarried;Black;Female;30;United-States;28718;1991-01-22
20;Private;10;Married-civ-spouse;Other-service;Husband;White;Male;24;United-States;26875;2000-07-14
34;Private;9;Widowed;Other-service;Unmarried;White;Female;24;United-States;30125;1986-11-27
62;Private;7;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;34000;1958-07-01
41;?;10;Divorced;?;Not-in-family;White;Female;40;United-States;33437;1979-12-27
45;Local-gov;10;Divorced;Adm-clerical;Unmarried;White;Female;38;Mexico;34687;1975-11-07
32;Private;9;Never-married;Adm-clerical;Not-in-family;White;Female;40;United-States;29562;1988-12-22
31;Private;13;Never-married;Exec-managerial;Other-relative;Asian-Pac-Islander;Female;40;Philippines;33406;1989-03-30
19;Private;9;Never-married;Craft-repair;Own-child;White;Male;35;United-States;25906;2001-03-16
50;?;9;Divorced;?;Not-in-family;White;Male;45;United-States;147500;1970-07-09
46;Private;9;Married-civ-spouse;Craft-repair;Husband;White;Male;46;United-States;33500;1974-12-13
21;Private;13;Never-married;Handlers-cleaners;Not-in-family;White;Male;40;United-States;29343;1999-01-22
69;Self-emp-not-inc;10;Separated;Sales;Unmarried;Black;Male;2;United-States;42187;1951-03-28
27;Private;9;Divorced;Craft-repair;Not-in-family;White;Male;60;United-States;28156;1993-09-30
40;Private;13;Separated;Other-service;Other-relative;Black;Male;50;United-States;37062;1980-09-04
66;?;2;Divorced;?;Not-in-family;White;Female;20;United-States;24250;1954-07-12
23;Private;9;Never-married;Other-service;Unmarried;White;Female;40;United-States;27031;1997-06-22
42;Self-emp-inc;14;Divorced;Exec-managerial;Unmarried;Asian-Pac-Islander;Female;40;United-States;39250;1978-09-24
26;Private;9;Never-married;Exec-managerial;Not-in-family;Asian-Pac-Islander;Female;40;England;27875;1994-03-20
43;Self-emp-not-inc;14;Married-civ-spouse;Sales;Husband;White;Male;40;United-States;181250;1977-07-09
34;Private;10;Divorced;Other-service;Unmarried;White;Female;40;Mexico;31250;1986-11-26
37;Federal-gov;12;Never-married;Exec-managerial;Not-in-family;White;Male;42;United-States;34625;1983-08-06
44;State-gov;14;Widowed;Protective-serv;Unmarried;White;Male;40;United-States;40125;1976-10-25
16;Private;7;Never-married;Handlers-cleaners;Own-child;White;Male;16;United-States;23937;2004-08-22
64;Local-gov;11;Widowed;Prof-specialty;Not-in-family;White;Female;20;United-States;42687;1956-08-12
25;Private;9;Never-married;Other-service;Not-in-family;White;Male;40;United-States;27593;1995-07-08
26;State-gov;9;Married-civ-spouse;Protective-serv;Husband;White;Male;40;United-States;27875;1994-04-23
49;Private;10;Married-civ-spouse;Sales;Husband;White;Male;40;United-States;156250;1971-02-14
25;Private;13;Never-married;Craft-repair;Not-in-family;White;Male;50;United-States;30968;1995-03-09
26;State-gov;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;125833;1994-08-27
25;Private;9;Married-spouse-absent;Sales;Unmarried;White;Female;25;United-States;27593;1995-09-07
19;Private;9;Never-married;Craft-repair;Own-child;Black;Male;40;United-States;25906;2001-03-12
32;Private;9;Never-married;Handlers-cleaners;Not-in-family;Black;Male;40;United-States;29562;1988-03-06
16;Private;9;Never-married;Other-service;Own-child;White;Male;12;United-States;25062;2004-11-27
31;Private;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;65;United-States;33406;1989-11-21
42;Local-gov;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;38;United-States;141666;1978-06-09
41;Private;10;Divorced;Adm-clerical;Not-in-family;White;Female;40;United-States;33437;1979-05-09
28;Private;10;Never-married;Craft-repair;Not-in-family;Black;Male;45;United-States;29375;1992-05-23
38;Private;4;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;Mexico;83333;1982-11-04
35;Federal-gov;10;Married-civ-spouse;Adm-clerical;Husband;White;Male;42;United-States;127083;1985-08-08
32;Private;9;Married-civ-spouse;Adm-clerical;Husband;Black;Male;40;United-States;29562;1988-01-17
39;Self-emp-not-inc;13;Divorced;Exec-managerial;Not-in-family;White;Female;40;United-States;36656;1981-07-16
51;?;13;Divorced;?;Not-in-family;White;Female;50;United-States;41531;1969-08-25
29;Private;14;Married-civ-spouse;Prof-specialty;Wife;White;Female;50;United-States;33562;1991-09-28
56;State-gov;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;1;United-States;243333;1964-01-18
36;Private;10;Divorced;Machine-op-inspct;Not-in-family;Black;Female;28;United-States;31875;1984-02-23
22;Private;10;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;United-States;27500;1998-02-20
39;Local-gov;13;Married-civ-spouse;Craft-repair;Husband;Black;Male;40;United-States;36656;1981-10-24
45;Private;10;Married-civ-spouse;Tech-support;Husband;White;Male;45;United-States;34687;1975-04-18
39;Federal-gov;13;Married-civ-spouse;Tech-support;Husband;White;Male;24;United-States;36656;1981-08-29
21;Private;3;Married-civ-spouse;Transport-moving;Other-relative;White;Male;40;Mexico;22156;1999-03-06
34;Private;10;Divorced;Craft-repair;Not-in-family;White;Male;40;United-States;31250;1986-12-09
38;Federal-gov;14;Never-married;Exec-managerial;Not-in-family;White;Female;55;United-States;166666;1982-06-19
33;Private;14;Married-civ-spouse;Prof-specialty;Other-relative;White;Male;40;United-States;152083;1987-06-24
22;Self-emp-not-inc;9;Never-married;Sales;Not-in-family;White;Male;40;United-States;26750;1998-07-22
24;Private;14;Never-married;Prof-specialty;Not-in-family;White;Female;40;United-States;31375;1996-10-21
17;?;9;Never-married;?;Own-child;White;Male;40;Italy;25343;2003-10-31
49;Private;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;United-States;188125;1971-11-14
40;Local-gov;10;Never-married;Prof-specialty;Not-in-family;White;Female;40;United-States;33125;1980-09-18
35;State-gov;9;Divorced;Adm-clerical;Unmarried;White;Female;35;United-States;30406;1985-10-17
16;Private;7;Never-married;Sales;Own-child;White;Female;40;United-States;23937;2004-02-01
34;Private;13;Married-civ-spouse;Other-service;Husband;Black;Male;36;United-States;147500;1986-03-19
33;Private;9;Divorced;Craft-repair;Not-in-family;White;Male;60;United-States;29843;1987-06-18
56;Self-emp-inc;9;Married-civ-spouse;Sales;Wife;White;Female;35;United-States;158750;1964-05-28
15;Private;7;Never-married;Sales;Own-child;White;Female;12;United-States;23718;2005-09-11
42;Local-gov;9;Married-civ-spouse;Transport-moving;Husband;Black;Male;40;United-States;32375;1978-04-16
35;Private;9;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;119375;1985-04-17
33;Private;10;Never-married;Sales;Not-in-family;Amer-Indian-Eskimo;Female;40;United-States;30937;1987-08-09
58;Private;9;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;40;United-States;36875;1962-08-05
52;Self-emp-inc;4;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;United-States;95000;1968-03-22
35;Private;13;Never-married;Exec-managerial;Not-in-family;Black;Male;60;United-States;150208;1985-05-20
48;Private;12;Divorced;Sales;Not-in-family;White;Female;40;United-States;38750;1972-05-05
36;Private;13;Married-civ-spouse;Sales;Husband;White;Male;50;Poland;35437;1984-12-10
43;Private;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;55;United-States;38281;1977-05-30
23;Private;6;Never-married;Craft-repair;Not-in-family;White;Male;40;United-States;24687;1997-07-06
29;Private;10;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;United-States;29687;1991-06-25
62;?;2;Divorced;?;Not-in-family;White;Male;40;United-States;24000;1958-05-31
88;Private;9;Never-married;Other-service;Not-in-family;Black;Male;40;United-States;45312;1932-10-11
52;Private;9;Married-civ-spouse;Adm-clerical;Husband;Black;Male;20;United-States;35187;1968-07-22
51;Local-gov;1;Never-married;Machine-op-inspct;Not-in-family;White;Female;35;United-States;21656;1969-01-26
16;Private;9;Never-married;Sales;Own-child;White;Female;40;United-States;25062;2004-08-16
58;?;6;Divorced;?;Not-in-family;Amer-Indian-Eskimo;Female;10;United-States;31250;1962-06-06
64;Self-emp-not-inc;9;Married-civ-spouse;Farming-fishing;Husband;White;Male;50;United-States;38562;1956-02-10
73;Private;11;Widowed;Adm-clerical;Not-in-family;White;Female;20;Columbia;45781;1947-03-04
63;Private;9;Divorced;Adm-clerical;Not-in-family;White;Female;40;United-States;38281;1957-04-14
33;Private;7;Separated;Transport-moving;Not-in-family;Black;Male;40;United-States;27656;1987-07-22
39;Private;9;Divorced;Sales;Unmarried;Black;Female;38;United-States;31531;1981-06-10
23;Private;10;Never-married;Adm-clerical;Not-in-family;White;Male;42;United-States;27812;1997-08-13
31;Private;10;Divorced;Craft-repair;Other-relative;Other;Female;40;United-States;30312;1989-08-02
26;Private;15;Never-married;Prof-specialty;Not-in-family;White;Male;55;United-States;137500;1994-07-28
57;State-gov;9;Married-civ-spouse;Other-service;Husband;White;Male;40;United-States;36593;1963-01-06
38;State-gov;10;Never-married;Adm-clerical;Not-in-family;White;Female;38;United-States;32500;1982-11-12
39;Private;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;Iran;161041;1981-05-23
36;Local-gov;14;Married-civ-spouse;Exec-managerial;Husband;White;Male;70;United-States;160833;1984-04-21
21;Private;9;Never-married;Transport-moving;Own-child;White;Male;40;United-States;26468;1999-08-05
38;Private;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;United-States;158333;1982-01-29
39;Self-emp-not-inc;9;Married-civ-spouse;Other-service;Wife;White;Female;20;United-States;31531;1981-10-04
22;State-gov;12;Married-civ-spouse;Protective-serv;Husband;White;Male;50;United-States;29000;1998-09-28
18;?;10;Never-married;?;Own-child;White;Male;20;United-States;26250;2002-07-18
36;Private;10;Divorced;Craft-repair;Not-in-family;White;Male;40;United-States;31875;1984-10-27
54;Private;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;35;?;35750;1966-03-03
56;Private;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;45;United-States;158750;1964-08-29
30;Private;9;Never-married;Other-service;Not-in-family;White;Female;34;United-States;29000;1990-11-25
38;Private;12;Married-civ-spouse;Tech-support;Husband;White;Male;60;United-States;150000;1982-03-22
43;Private;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;?;32656;1977-05-16
39;Private;15;Married-civ-spouse;Prof-specialty;Wife;White;Female;40;United-States;178125;1981-01-07
40;Private;13;Married-civ-spouse;Adm-clerical;Wife;Black;Female;40;United-States;37062;1980-03-25
57;Local-gov;6;Widowed;Other-service;Unmarried;Black;Female;30;United-States;31062;1963-11-26
17;Local-gov;10;Never-married;Adm-clerical;Own-child;White;Male;40;United-States;25937;2003-03-16
56;Private;10;Never-married;Transport-moving;Not-in-family;White;Male;20;United-States;38125;1964-04-28
40;Self-emp-not-inc;9;Married-civ-spouse;Farming-fishing;Husband;Asian-Pac-Islander;Male;40;Cambodia;128750;1980-04-26
18;Private;9;Never-married;Other-service;Own-child;White;Female;40;United-States;25625;2002-12-24
30;Private;9;Separated;Other-service;Not-in-family;White;Female;30;United-States;29000;1990-10-05
43;Private;11;Widowed;Exec-managerial;Not-in-family;White;Female;45;United-States;35468;1977-07-28
48;Private;4;Divorced;Craft-repair;Not-in-family;White;Male;40;United-States;26250;1972-07-08
34;Private;13;Divorced;Prof-specialty;Own-child;White;Female;40;United-States;34625;1986-11-08
43;Private;9;Married-civ-spouse;Sales;Husband;White;Male;60;United-States;32656;1977-05-26
15;Private;7;Never-married;Other-service;Own-child;White;Male;12;United-States;23718;2005-06-21
57;Private;10;Married-civ-spouse;Sales;Husband;White;Male;40;United-States;38437;1963-10-06
24;Private;7;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;25687;1996-07-22
35;Self-emp-inc;10;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;75;Thailand;127083;1985-09-29
17;?;10;Never-married;?;Own-child;White;Male;24;Canada;25937;2003-11-18
62;Private;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;United-States;170000;1958-02-05
31;Private;13;Never-married;Prof-specialty;Not-in-family;White;Female;45;United-States;33406;1989-08-05
31;Private;9;Married-civ-spouse;Craft-repair;Wife;White;Female;40;United-States;111875;1989-05-23
59;Private;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;United-States;164375;1961-11-20
15;Private;5;Never-married;Other-service;Own-child;White;Male;24;United-States;22656;2005-08-22
48;Self-emp-not-inc;14;Married-civ-spouse;Farming-fishing;Husband;White;Male;98;United-States;41875;1972-02-15
25;Local-gov;14;Never-married;Prof-specialty;Own-child;White;Male;35;United-States;31812;1995-09-01
28;Private;9;Divorced;Prof-specialty;Own-child;White;Female;40;United-States;28437;1992-06-01
41;Private;9;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;40;United-States;32093;1979-05-02
42;Private;10;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;141666;1978-02-19
33;Private;10;Never-married;Exec-managerial;Not-in-family;White;Female;40;United-States;30937;1987-03-06
23;Private;10;Never-married;Tech-support;Own-child;White;Female;40;United-States;27812;1997-12-27
22;Private;10;Married-civ-spouse;Machine-op-inspct;Wife;White;Female;48;United-States;100000;1998-10-26
20;Private;13;Never-married;Prof-specialty;Not-in-family;White;Female;15;Germany;28937;2000-09-30
40;Local-gov;10;Married-civ-spouse;Craft-repair;Husband;White;Male;40;United-States;137500;1980-10-29
32;Private;12;Divorced;Sales;Unmarried;Black;Female;45;United-States;32750;1988-05-21
