Invoice ID;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Payment
777-82-7220;Mandalay;Member;Male;Home and lifestyle;30.12;8;12.048;253.008;2019-03-03 13:01:00;Cash
280-35-5823;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;2019-01-17 18:45:00;Ewallet
554-53-8700;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.611;117.831;2019-02-02 10:11:00;Cash
354-25-5821;Mandalay;Member;Female;Sports and travel;69.12;6;20.736;435.456;2019-02-08 13:03:00;Cash
228-96-1411;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;2019-03-04 20:39:00;Cash
617-15-4209;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;2019-03-16 19:47:00;Cash
132-32-9879;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.632;2019-03-09 18:00:00;Cash
370-41-7321;Mandalay;Member;Male;Health and beauty;56.69;9;25.5105;535.7205;2019-02-27 17:24:00;Credit card
727-46-3608;Mandalay;Member;Female;Food and beverages;20.01;9;9.0045;189.0945;2019-02-06 15:47:00;Ewallet
669-54-1719;Mandalay;Member;Male;Electronic accessories;18.93;6;5.679;119.259;2019-02-10 12:45:00;Credit card
574-22-5561;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;2019-03-19 17:08:00;Ewallet
326-78-5178;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;2019-02-03 10:19:00;Cash
162-48-8011;Yangon;Member;Female;Food and beverages;44.59;5;11.1475;234.0975;2019-02-10 15:10:00;Cash
616-24-2851;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;2019-03-22 14:42:00;Ewallet
778-71-5554;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;16.2015;2019-01-25 15:46:00;Credit card
242-55-6721;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;2019-03-07 11:49:00;Ewallet
399-46-5918;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.392;722.232;2019-02-28 19:01:00;Cash
106-35-6779;Yangon;Member;Male;Home and lifestyle;44.34;2;4.434;93.114;2019-03-27 11:26:00;Cash
635-40-6220;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;2019-02-07 11:28:00;Ewallet
817-48-8732;Yangon;Member;Female;Home and lifestyle;72.35;10;36.175;759.675;2019-01-20 15:55:00;Cash
120-06-4233;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;2019-03-12 20:36:00;Cash
285-68-5083;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.711;77.931;2019-02-15 17:47:00;Credit card
803-83-5989;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.719;351.099;2019-02-24 10:55:00;Ewallet
347-34-2234;Mandalay;Member;Female;Sports and travel;55.07;9;24.7815;520.4115;2019-02-03 13:40:00;Ewallet
199-75-8169;Yangon;Member;Male;Sports and travel;15.81;10;7.905;166.005;2019-03-06 12:27:00;Credit card
853-23-2453;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;2019-02-14 14:35:00;Cash
877-22-3308;Yangon;Member;Male;Health and beauty;15.87;10;7.935;166.635;2019-03-13 16:40:00;Cash
838-78-4295;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.347;70.287;2019-02-10 15:43:00;Ewallet
109-28-2512;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;2019-01-07 15:01:00;Ewallet
232-11-3025;Yangon;Normal;Male;Sports and travel;78.77;10;39.385;827.085;2019-01-24 10:04:00;Cash
382-03-4532;Yangon;Member;Female;Health and beauty;18.33;1;0.9165;19.2465;2019-02-02 18:50:00;Cash
393-65-2792;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;2019-01-06 12:46:00;Credit card
796-12-2025;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;2019-02-11 16:19:00;Cash
510-95-6347;Mandalay;Member;Female;Food and beverages;48.52;3;7.278;152.838;2019-03-05 18:17:00;Ewallet
841-35-6630;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773;478.233;2019-03-09 18:21:00;Cash
287-21-9091;Yangon;Normal;Male;Home and lifestyle;74.67;9;33.6015;705.6315;2019-01-22 10:55:00;Ewallet
732-94-0499;Naypyitaw;Normal;Female;Electronic accessories;41.65;10;20.825;437.325;2019-01-13 17:04:00;Credit card
263-10-3913;Naypyitaw;Member;Male;Fashion accessories;49.04;9;22.068;463.428;2019-01-09 14:20:00;Credit card
381-20-0914;Yangon;Member;Female;Fashion accessories;20.01;9;9.0045;189.0945;2019-01-12 15:48:00;Credit card
829-49-1914;Naypyitaw;Member;Female;Food and beverages;78.31;10;39.155;822.255;2019-03-05 16:24:00;Ewallet
756-01-7507;Naypyitaw;Normal;Female;Health and beauty;20.38;5;5.095;106.995;2019-01-22 18:56:00;Cash
870-72-4431;Naypyitaw;Normal;Female;Health and beauty;99.19;6;29.757;624.897;2019-01-21 14:42:00;Credit card
847-38-7188;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.542;2019-01-26 19:56:00;Ewallet
480-63-2856;Naypyitaw;Normal;Male;Food and beverages;19.25;8;7.7;161.7;2019-01-23 18:37:00;Ewallet
787-56-0757;Naypyitaw;Member;Female;Food and beverages;80.36;4;16.072;337.512;2019-02-23 18:45:00;Credit card
360-39-5055;Naypyitaw;Member;Male;Sports and travel;48.91;5;12.2275;256.7775;2019-03-09 10:17:00;Cash
730-50-9884;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.071;610.491;2019-03-05 14:31:00;Ewallet
362-58-8315;Naypyitaw;Normal;Male;Fashion accessories;76.52;5;19.13;401.73;2019-03-25 10:23:00;Cash
633-44-8566;Yangon;Member;Male;Food and beverages;49.38;7;17.283;362.943;2019-03-27 20:35:00;Credit card
504-35-8843;Yangon;Normal;Male;Sports and travel;42.47;1;2.1235;44.5935;2019-01-02 16:57:00;Cash
318-68-5053;Mandalay;Normal;Female;Health and beauty;76.99;6;23.097;485.037;2019-02-27 17:55:00;Cash
565-80-5980;Naypyitaw;Member;Female;Home and lifestyle;47.38;4;9.476;198.996;2019-01-23 10:25:00;Cash
225-32-0908;Naypyitaw;Normal;Female;Sports and travel;44.86;10;22.43;471.03;2019-01-26 19:54:00;Ewallet
873-51-0671;Yangon;Member;Female;Sports and travel;21.98;7;7.693;161.553;2019-01-10 16:42:00;Ewallet
152-08-9985;Mandalay;Member;Male;Health and beauty;64.36;9;28.962;608.202;2019-03-12 12:09:00;Credit card
512-91-0811;Naypyitaw;Normal;Male;Health and beauty;89.75;1;4.4875;94.2375;2019-02-06 20:05:00;Credit card
594-34-4444;Yangon;Normal;Male;Electronic accessories;97.16;1;4.858;102.018;2019-03-08 20:38:00;Ewallet
766-85-7061;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;2019-03-29 10:25:00;Ewallet
871-39-9221;Naypyitaw;Normal;Female;Electronic accessories;12.45;6;3.735;78.435;2019-02-09 13:11:00;Cash
865-92-6136;Yangon;Normal;Male;Food and beverages;52.75;3;7.9125;166.1625;2019-03-23 10:16:00;Ewallet
733-01-9107;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;2019-03-05 18:14:00;Cash
163-56-7055;Naypyitaw;Member;Male;Fashion accessories;48.71;1;2.4355;51.1455;2019-03-26 19:20:00;Cash
189-98-2939;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;35.3475;742.2975;2019-03-01 13:22:00;Cash
551-21-3069;Naypyitaw;Normal;Female;Electronic accessories;23.07;9;10.3815;218.0115;2019-02-01 11:27:00;Cash
212-62-1842;Yangon;Normal;Male;Food and beverages;58.26;6;17.478;367.038;2019-03-28 16:44:00;Cash
716-39-1409;Mandalay;Normal;Male;Health and beauty;30.35;7;10.6225;223.0725;2019-03-19 18:19:00;Cash
704-48-3927;Yangon;Member;Male;Electronic accessories;88.67;10;44.335;931.035;2019-01-12 14:50:00;Ewallet
628-34-3388;Naypyitaw;Normal;Male;Fashion accessories;27.38;6;8.214;172.494;2019-01-05 20:54:00;Credit card
630-74-5166;Yangon;Normal;Male;Sports and travel;62.13;6;18.639;391.419;2019-03-22 20:19:00;Cash
588-01-7461;Naypyitaw;Normal;Female;Food and beverages;33.98;9;15.291;321.111;2019-03-24 10:43:00;Cash
861-77-0145;Naypyitaw;Member;Male;Electronic accessories;81.97;10;40.985;860.685;2019-03-03 14:30:00;Cash
479-26-8945;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;2019-02-05 11:32:00;Ewallet
210-67-5886;Naypyitaw;Member;Female;Health and beauty;98.21;3;14.7315;309.3615;2019-02-05 10:41:00;Credit card
227-78-1148;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;2019-02-15 12:44:00;Cash
645-44-1170;Yangon;Member;Male;Home and lifestyle;58.07;9;26.1315;548.7615;2019-01-19 20:07:00;Ewallet
237-01-6122;Naypyitaw;Member;Female;Home and lifestyle;80.79;9;36.3555;763.4655;2019-02-01 20:31:00;Credit card
225-98-1496;Naypyitaw;Normal;Female;Fashion accessories;27.02;3;4.053;85.113;2019-03-02 13:01:00;Credit card
291-32-1427;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;2019-03-05 12:29:00;Ewallet
659-65-8956;Mandalay;Member;Male;Fashion accessories;51.36;1;2.568;53.928;2019-01-16 15:26:00;Ewallet
642-32-2990;Yangon;Normal;Female;Food and beverages;10.96;10;5.48;115.08;2019-02-02 20:48:00;Ewallet
378-24-2715;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.344;112.224;2019-01-20 20:38:00;Ewallet
638-60-7125;Yangon;Normal;Female;Electronic accessories;99.56;8;39.824;836.304;2019-02-14 17:03:00;Credit card
659-36-1684;Naypyitaw;Member;Male;Sports and travel;57.12;7;19.992;419.832;2019-01-12 12:02:00;Credit card
219-22-9386;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;2019-03-09 17:26:00;Credit card
336-78-2147;Naypyitaw;Member;Male;Home and lifestyle;63.91;8;25.564;536.844;2019-03-13 19:52:00;Credit card
268-27-6179;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;2019-03-09 14:57:00;Ewallet
668-90-8900;Yangon;Normal;Female;Home and lifestyle;93.69;7;32.7915;688.6215;2019-03-10 18:44:00;Credit card
870-54-3162;Yangon;Normal;Female;Sports and travel;32.25;5;8.0625;169.3125;2019-01-27 13:26:00;Cash
189-08-9157;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;14.2785;299.8485;2019-01-08 16:17:00;Credit card
663-86-9076;Naypyitaw;Member;Female;Food and beverages;68.54;8;27.416;575.736;2019-01-08 15:57:00;Ewallet
549-84-7482;Mandalay;Normal;Female;Sports and travel;90.28;9;40.626;853.146;2019-02-08 11:15:00;Ewallet
191-10-6171;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;2019-01-25 13:18:00;Cash
802-70-5316;Yangon;Member;Female;Sports and travel;92.13;6;27.639;580.419;2019-03-06 20:34:00;Cash
695-51-0018;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;2019-02-10 18:36:00;Cash
590-83-4591;Mandalay;Member;Male;Electronic accessories;87.45;6;26.235;550.935;2019-02-17 14:40:00;Credit card
483-71-1164;Naypyitaw;Normal;Female;Health and beauty;81.3;6;24.39;512.19;2019-03-08 16:43:00;Ewallet
597-78-7908;Naypyitaw;Normal;Male;Fashion accessories;90.22;3;13.533;284.193;2019-02-18 19:39:00;Cash
700-81-1757;Yangon;Normal;Female;Electronic accessories;26.31;5;6.5775;138.1275;2019-01-18 20:59:00;Credit card
354-39-5160;Yangon;Member;Female;Home and lifestyle;34.42;6;10.326;216.846;2019-02-18 15:39:00;Cash
241-72-9525;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;2019-02-16 12:21:00;Cash
575-30-8091;Yangon;Normal;Male;Sports and travel;72.5;8;29;609;2019-03-16 19:25:00;Ewallet
731-81-9469;Naypyitaw;Member;Female;Sports and travel;89.8;10;44.9;942.9;2019-01-23 13:00:00;Credit card
280-17-4359;Naypyitaw;Member;Male;Health and beauty;90.5;10;45.25;950.25;2019-01-25 13:48:00;Cash
338-65-2210;Naypyitaw;Member;Female;Health and beauty;68.6;10;34.3;720.3;2019-02-05 19:57:00;Cash
488-25-4221;Naypyitaw;Member;Female;Food and beverages;30.41;1;1.5205;31.9305;2019-02-22 10:36:00;Credit card
239-10-7476;Yangon;Normal;Female;Home and lifestyle;77.95;6;23.385;491.085;2019-01-21 16:37:00;Ewallet
458-41-1477;Naypyitaw;Normal;Female;Health and beauty;46.26;6;13.878;291.438;2019-03-08 17:11:00;Credit card
685-64-1609;Yangon;Member;Female;Fashion accessories;30.14;10;15.07;316.47;2019-02-10 12:28:00;Ewallet
568-90-5112;Naypyitaw;Normal;Male;Health and beauty;66.14;4;13.228;277.788;2019-03-19 12:46:00;Credit card
262-47-2794;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;2019-03-06 15:07:00;Credit card
238-49-0436;Yangon;Normal;Male;Health and beauty;32.46;8;12.984;272.664;2019-03-27 13:48:00;Credit card
608-96-3517;Mandalay;Member;Female;Fashion accessories;91.54;4;18.308;384.468;2019-03-23 19:20:00;Credit card
584-86-7256;Naypyitaw;Member;Male;Sports and travel;34.56;7;12.096;254.016;2019-03-11 16:07:00;Credit card
746-94-0204;Yangon;Normal;Male;Fashion accessories;83.24;9;37.458;786.618;2019-01-29 11:56:00;Credit card
214-17-6927;Naypyitaw;Normal;Female;Food and beverages;16.48;6;4.944;103.824;2019-02-07 18:23:00;Ewallet
400-89-4171;Naypyitaw;Normal;Female;Sports and travel;80.97;8;32.388;680.148;2019-01-28 13:05:00;Cash
782-95-9291;Yangon;Member;Male;Food and beverages;92.29;5;23.0725;484.5225;2019-02-20 15:55:00;Credit card
279-74-2924;Mandalay;Member;Male;Electronic accessories;72.17;1;3.6085;75.7785;2019-01-04 19:40:00;Cash
307-85-2293;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;2019-03-07 13:58:00;Ewallet
743-04-1105;Mandalay;Member;Male;Health and beauty;97.22;9;43.749;918.729;2019-03-30 14:43:00;Ewallet
423-57-2993;Mandalay;Normal;Male;Sports and travel;93.39;6;28.017;588.357;2019-03-27 19:18:00;Ewallet
894-41-5205;Naypyitaw;Normal;Female;Food and beverages;43.18;8;17.272;362.712;2019-01-19 19:39:00;Credit card
275-28-0149;Yangon;Normal;Male;Sports and travel;63.69;1;3.1845;66.8745;2019-02-25 16:21:00;Cash
101-17-6199;Yangon;Normal;Male;Food and beverages;45.79;7;16.0265;336.5565;2019-03-13 19:44:00;Credit card
423-80-0988;Naypyitaw;Normal;Male;Sports and travel;76.4;2;7.64;160.44;2019-01-30 19:42:00;Ewallet
548-46-9322;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;2019-02-20 15:24:00;Credit card
505-02-0892;Mandalay;Member;Male;Health and beauty;42.57;8;17.028;357.588;2019-02-25 14:12:00;Ewallet
234-65-2137;Naypyitaw;Normal;Male;Home and lifestyle;95.58;10;47.79;1003.59;2019-01-16 13:32:00;Cash
687-47-8271;Yangon;Normal;Male;Fashion accessories;98.98;10;49.49;1039.29;2019-02-08 16:20:00;Credit card
796-32-9050;Yangon;Normal;Male;Food and beverages;51.28;6;15.384;323.064;2019-01-19 16:31:00;Cash
105-31-1824;Yangon;Member;Male;Sports and travel;69.52;7;24.332;510.972;2019-02-01 15:10:00;Credit card
249-42-3782;Yangon;Normal;Male;Health and beauty;70.01;5;17.5025;367.5525;2019-01-03 11:36:00;Ewallet
316-55-4634;Mandalay;Member;Male;Food and beverages;80.05;5;20.0125;420.2625;2019-01-26 12:45:00;Credit card
733-33-4967;Naypyitaw;Normal;Male;Electronic accessories;20.85;8;8.34;175.14;2019-03-03 19:17:00;Cash
608-27-6295;Mandalay;Member;Male;Electronic accessories;52.89;6;15.867;333.207;2019-01-19 17:34:00;Credit card
414-12-7047;Mandalay;Normal;Male;Food and beverages;19.79;8;7.916;166.236;2019-01-18 12:04:00;Ewallet
827-26-2100;Yangon;Member;Male;Home and lifestyle;33.84;9;15.228;319.788;2019-03-21 16:21:00;Ewallet
175-54-2529;Yangon;Member;Male;Food and beverages;22.17;8;8.868;186.228;2019-03-03 17:01:00;Credit card
139-52-2867;Naypyitaw;Normal;Female;Fashion accessories;22.51;7;7.8785;165.4485;2019-02-13 10:50:00;Credit card
407-63-8975;Yangon;Normal;Male;Food and beverages;73.88;6;22.164;465.444;2019-03-23 19:16:00;Ewallet
342-65-4817;Naypyitaw;Member;Male;Health and beauty;86.8;3;13.02;273.42;2019-01-28 16:47:00;Ewallet
130-98-8941;Naypyitaw;Normal;Male;Fashion accessories;64.26;7;22.491;472.311;2019-02-09 10:00:00;Cash
434-83-9547;Naypyitaw;Member;Male;Food and beverages;38.47;8;15.388;323.148;2019-01-23 11:51:00;Cash
851-28-6367;Yangon;Member;Male;Sports and travel;15.5;10;7.75;162.75;2019-03-23 10:55:00;Ewallet
824-88-3614;Naypyitaw;Normal;Male;Health and beauty;34.31;8;13.724;288.204;2019-01-25 15:00:00;Ewallet
586-25-0848;Yangon;Normal;Female;Sports and travel;12.34;7;4.319;90.699;2019-03-04 11:19:00;Credit card
895-66-0685;Mandalay;Member;Male;Food and beverages;18.08;3;2.712;56.952;2019-03-05 19:46:00;Ewallet
305-14-0245;Mandalay;Member;Female;Home and lifestyle;94.49;8;37.796;793.716;2019-03-03 19:00:00;Ewallet
732-04-5373;Mandalay;Member;Male;Home and lifestyle;46.47;4;9.294;195.174;2019-02-08 10:53:00;Cash
400-60-7251;Yangon;Normal;Male;Home and lifestyle;74.07;1;3.7035;77.7735;2019-02-10 12:50:00;Ewallet
593-65-1552;Naypyitaw;Normal;Female;Home and lifestyle;69.81;4;13.962;293.202;2019-01-28 20:50:00;Credit card
284-34-9626;Mandalay;Normal;Female;Home and lifestyle;77.04;3;11.556;242.676;2019-02-11 10:39:00;Credit card
437-58-8131;Mandalay;Normal;Female;Fashion accessories;73.52;2;7.352;154.392;2019-01-15 13:41:00;Ewallet
286-43-6208;Naypyitaw;Normal;Female;Food and beverages;87.8;9;39.51;829.71;2019-03-16 19:08:00;Cash
641-43-2399;Mandalay;Normal;Male;Home and lifestyle;25.55;4;5.11;107.31;2019-01-26 20:23:00;Ewallet
831-07-6050;Yangon;Normal;Male;Electronic accessories;32.71;5;8.1775;171.7275;2019-03-19 11:30:00;Credit card
556-86-3144;Naypyitaw;Member;Female;Fashion accessories;74.29;1;3.7145;78.0045;2019-01-13 19:30:00;Cash
848-24-9445;Naypyitaw;Member;Male;Health and beauty;43.7;2;4.37;91.77;2019-03-26 18:03:00;Cash
856-22-8149;Yangon;Normal;Female;Home and lifestyle;25.29;1;1.2645;26.5545;2019-03-23 10:13:00;Ewallet
699-01-4164;Naypyitaw;Normal;Male;Health and beauty;41.5;4;8.3;174.3;2019-03-12 19:58:00;Credit card
420-11-4919;Naypyitaw;Member;Female;Food and beverages;71.39;5;17.8475;374.7975;2019-02-17 19:57:00;Credit card
606-80-4905;Naypyitaw;Member;Female;Sports and travel;19.15;6;5.745;120.645;2019-01-29 10:01:00;Credit card
542-41-0513;Mandalay;Member;Female;Electronic accessories;57.49;4;11.498;241.458;2019-03-15 11:57:00;Cash
426-39-2418;Naypyitaw;Normal;Male;Electronic accessories;61.41;7;21.4935;451.3635;2019-01-14 10:02:00;Cash
875-46-5808;Mandalay;Member;Male;Health and beauty;25.9;10;12.95;271.95;2019-02-06 14:51:00;Ewallet
394-43-4238;Mandalay;Member;Male;Home and lifestyle;17.77;5;4.4425;93.2925;2019-02-15 12:42:00;Credit card
749-24-1565;Yangon;Normal;Female;Health and beauty;23.03;9;10.3635;217.6335;2019-01-03 12:02:00;Ewallet
672-51-8681;Naypyitaw;Member;Female;Electronic accessories;66.65;9;29.9925;629.8425;2019-01-04 18:19:00;Credit card
263-87-5680;Naypyitaw;Member;Female;Home and lifestyle;28.53;10;14.265;299.565;2019-03-18 17:38:00;Ewallet
573-58-9734;Mandalay;Normal;Female;Fashion accessories;30.37;3;4.5555;95.6655;2019-03-28 13:41:00;Ewallet
817-69-8206;Mandalay;Normal;Female;Electronic accessories;99.73;9;44.8785;942.4485;2019-03-02 19:42:00;Credit card
888-02-0338;Yangon;Normal;Male;Electronic accessories;26.23;9;11.8035;247.8735;2019-01-25 20:24:00;Ewallet
677-11-0152;Naypyitaw;Normal;Female;Food and beverages;93.26;9;41.967;881.307;2019-01-16 18:08:00;Cash
142-63-6033;Mandalay;Normal;Male;Home and lifestyle;92.36;5;23.09;484.89;2019-03-20 19:17:00;Ewallet
656-16-1063;Mandalay;Normal;Male;Sports and travel;46.42;3;6.963;146.223;2019-01-04 13:24:00;Credit card
891-58-8335;Mandalay;Member;Female;Sports and travel;29.61;7;10.3635;217.6335;2019-03-11 15:53:00;Cash
802-43-8934;Yangon;Normal;Male;Home and lifestyle;18.28;1;0.914;19.194;2019-03-22 15:05:00;Credit card
560-30-5617;Mandalay;Normal;Female;Sports and travel;24.77;5;6.1925;130.0425;2019-03-24 18:27:00;Cash
319-74-2561;Yangon;Member;Female;Electronic accessories;94.64;3;14.196;298.116;2019-02-21 16:55:00;Cash
549-03-9315;Mandalay;Normal;Male;Fashion accessories;94.87;8;37.948;796.908;2019-02-12 12:58:00;Ewallet
790-29-1172;Mandalay;Normal;Female;Food and beverages;57.34;3;8.601;180.621;2019-03-10 18:59:00;Credit card
239-36-3640;Mandalay;Normal;Male;Electronic accessories;45.35;6;13.605;285.705;2019-01-31 13:44:00;Ewallet
468-01-2051;Mandalay;Normal;Male;Food and beverages;62.08;7;21.728;456.288;2019-03-06 13:46:00;Ewallet
389-25-3394;Naypyitaw;Normal;Male;Electronic accessories;11.81;5;2.9525;62.0025;2019-02-17 18:06:00;Cash
279-62-1445;Naypyitaw;Member;Female;Fashion accessories;12.54;1;0.627;13.167;2019-02-21 12:38:00;Cash
213-72-6612;Yangon;Normal;Male;Food and beverages;43.25;2;4.325;90.825;2019-03-20 15:56:00;Cash
746-68-6593;Naypyitaw;Member;Female;Sports and travel;87.16;2;8.716;183.036;2019-01-11 14:29:00;Credit card
836-82-5858;Mandalay;Member;Male;Health and beauty;69.37;9;31.2165;655.5465;2019-01-26 19:14:00;Ewallet
583-72-1480;Naypyitaw;Member;Male;Electronic accessories;37.06;4;7.412;155.652;2019-01-31 16:24:00;Ewallet
466-61-5506;Mandalay;Member;Female;Electronic accessories;90.7;6;27.21;571.41;2019-02-26 10:52:00;Cash
721-86-6247;Yangon;Normal;Female;Home and lifestyle;63.42;8;25.368;532.728;2019-03-11 12:55:00;Ewallet
289-65-5721;Mandalay;Normal;Female;Fashion accessories;81.37;2;8.137;170.877;2019-01-26 19:28:00;Cash
