code,name,dob,nationality,race_id,position,points,fastest_lap_speed,status,country,year,race,date
TRU,Jarno Trulli,1974-07-13,Italian,19,4.0,5.0,207.715,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
SUT,Adrian Sutil,1983-01-11,German,19,,0.0,198.891,Hydraulics,Malaysia,2008,Malaysian Grand Prix,2008-03-23
WEB,Mark Webber,1976-08-27,Australian,19,7.0,2.0,206.366,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
BUT,Jenson Button,1980-01-19,British,19,10.0,0.0,208.481,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
DAV,Anthony Davidson,1979-04-18,British,19,15.0,0.0,203.265,+1 Lap,Malaysia,2008,Malaysian Grand Prix,2008-03-23
VET,Sebastian Vettel,1987-07-03,German,19,,0.0,205.995,Engine,Malaysia,2008,Malaysian Grand Prix,2008-03-23
FIS,Giancarlo Fisichella,1973-01-14,Italian,19,12.0,0.0,205.8,+1 Lap,Malaysia,2008,Malaysian Grand Prix,2008-03-23
BAR,Rubens Barrichello,1972-05-23,Brazilian,19,13.0,0.0,206.372,+1 Lap,Malaysia,2008,Malaysian Grand Prix,2008-03-23
HAM,Lewis Hamilton,1985-01-07,British,20,13.0,0.0,203.969,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
HEI,Nick Heidfeld,1977-05-10,German,20,4.0,5.0,208.231,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
ROS,Nico Rosberg,1985-06-27,German,20,8.0,1.0,207.109,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
ALO,Fernando Alonso,1981-07-29,Spanish,20,10.0,0.0,204.668,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
KOV,Heikki Kovalainen,1981-10-19,Finnish,20,5.0,4.0,209.062,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
NAK,Kazuki Nakajima,1985-01-11,Japanese,20,14.0,0.0,204.155,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
BOU,Sébastien Bourdais,1979-02-28,French,20,15.0,0.0,204.369,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
RAI,Kimi Räikkönen,1979-10-17,Finnish,20,2.0,8.0,207.911,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
KUB,Robert Kubica,1984-12-07,Polish,20,3.0,6.0,207.765,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
GLO,Timo Glock,1982-03-18,German,20,9.0,0.0,205.503,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
SAT,Takuma Sato,1977-01-28,Japanese,20,17.0,0.0,203.18,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,20,,0.0,204.808,Gearbox,Bahrain,2008,Bahrain Grand Prix,2008-04-06
MAS,Felipe Massa,1981-04-25,Brazilian,20,1.0,10.0,208.153,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
COU,David Coulthard,1971-03-27,British,20,18.0,0.0,204.331,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
TRU,Jarno Trulli,1974-07-13,Italian,20,6.0,3.0,206.819,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
SUT,Adrian Sutil,1983-01-11,German,20,19.0,0.0,204.136,+2 Laps,Bahrain,2008,Bahrain Grand Prix,2008-04-06
WEB,Mark Webber,1976-08-27,Australian,20,7.0,2.0,206.597,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
BUT,Jenson Button,1980-01-19,British,20,,0.0,202.686,Collision,Bahrain,2008,Bahrain Grand Prix,2008-04-06
DAV,Anthony Davidson,1979-04-18,British,20,16.0,0.0,204.389,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
VET,Sebastian Vettel,1987-07-03,German,20,,0.0,,Engine,Bahrain,2008,Bahrain Grand Prix,2008-04-06
FIS,Giancarlo Fisichella,1973-01-14,Italian,20,12.0,0.0,204.963,+1 Lap,Bahrain,2008,Bahrain Grand Prix,2008-04-06
BAR,Rubens Barrichello,1972-05-23,Brazilian,20,11.0,0.0,205.399,Finished,Bahrain,2008,Bahrain Grand Prix,2008-04-06
HAM,Lewis Hamilton,1985-01-07,British,24,,0.0,202.559,Collision,Canada,2008,Canadian Grand Prix,2008-06-08
HEI,Nick Heidfeld,1977-05-10,German,24,2.0,8.0,202.758,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
ROS,Nico Rosberg,1985-06-27,German,24,10.0,0.0,201.336,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
ALO,Fernando Alonso,1981-07-29,Spanish,24,,0.0,200.697,Spun off,Canada,2008,Canadian Grand Prix,2008-06-08
KOV,Heikki Kovalainen,1981-10-19,Finnish,24,9.0,0.0,200.091,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
NAK,Kazuki Nakajima,1985-01-11,Japanese,24,,0.0,199.273,Accident,Canada,2008,Canadian Grand Prix,2008-06-08
BOU,Sébastien Bourdais,1979-02-28,French,24,13.0,0.0,199.689,+1 Lap,Canada,2008,Canadian Grand Prix,2008-06-08
RAI,Kimi Räikkönen,1979-10-17,Finnish,24,,0.0,202.871,Collision,Canada,2008,Canadian Grand Prix,2008-06-08
KUB,Robert Kubica,1984-12-07,Polish,24,1.0,10.0,202.473,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
GLO,Timo Glock,1982-03-18,German,24,4.0,5.0,198.51,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,24,,0.0,198.129,Brakes,Canada,2008,Canadian Grand Prix,2008-06-08
MAS,Felipe Massa,1981-04-25,Brazilian,24,5.0,4.0,201.261,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
COU,David Coulthard,1971-03-27,British,24,3.0,6.0,201.057,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
TRU,Jarno Trulli,1974-07-13,Italian,24,6.0,3.0,199.056,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
SUT,Adrian Sutil,1983-01-11,German,24,,0.0,194.624,Gearbox,Canada,2008,Canadian Grand Prix,2008-06-08
WEB,Mark Webber,1976-08-27,Australian,24,12.0,0.0,200.759,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
BUT,Jenson Button,1980-01-19,British,24,11.0,0.0,197.847,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
VET,Sebastian Vettel,1987-07-03,German,24,8.0,1.0,199.913,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
FIS,Giancarlo Fisichella,1973-01-14,Italian,24,,0.0,198.563,Spun off,Canada,2008,Canadian Grand Prix,2008-06-08
BAR,Rubens Barrichello,1972-05-23,Brazilian,24,7.0,2.0,200.503,Finished,Canada,2008,Canadian Grand Prix,2008-06-08
HAM,Lewis Hamilton,1985-01-07,British,27,1.0,10.0,216.552,Finished,Germany,2008,German Grand Prix,2008-07-20
HEI,Nick Heidfeld,1977-05-10,German,27,4.0,5.0,216.7,Finished,Germany,2008,German Grand Prix,2008-07-20
ROS,Nico Rosberg,1985-06-27,German,27,10.0,0.0,212.799,Finished,Germany,2008,German Grand Prix,2008-07-20
ALO,Fernando Alonso,1981-07-29,Spanish,27,11.0,0.0,213.53,Finished,Germany,2008,German Grand Prix,2008-07-20
KOV,Heikki Kovalainen,1981-10-19,Finnish,27,5.0,4.0,215.261,Finished,Germany,2008,German Grand Prix,2008-07-20
NAK,Kazuki Nakajima,1985-01-11,Japanese,27,14.0,0.0,211.947,Finished,Germany,2008,German Grand Prix,2008-07-20
BOU,Sébastien Bourdais,1979-02-28,French,27,12.0,0.0,213.935,Finished,Germany,2008,German Grand Prix,2008-07-20
RAI,Kimi Räikkönen,1979-10-17,Finnish,27,6.0,3.0,215.692,Finished,Germany,2008,German Grand Prix,2008-07-20
KUB,Robert Kubica,1984-12-07,Polish,27,7.0,2.0,214.937,Finished,Germany,2008,German Grand Prix,2008-07-20
GLO,Timo Glock,1982-03-18,German,27,,0.0,214.652,Suspension,Germany,2008,German Grand Prix,2008-07-20
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,27,2.0,8.0,214.099,Finished,Germany,2008,German Grand Prix,2008-07-20
MAS,Felipe Massa,1981-04-25,Brazilian,27,3.0,6.0,215.241,Finished,Germany,2008,German Grand Prix,2008-07-20
COU,David Coulthard,1971-03-27,British,27,13.0,0.0,213.866,Finished,Germany,2008,German Grand Prix,2008-07-20
TRU,Jarno Trulli,1974-07-13,Italian,27,9.0,0.0,213.785,Finished,Germany,2008,German Grand Prix,2008-07-20
SUT,Adrian Sutil,1983-01-11,German,27,15.0,0.0,211.408,Finished,Germany,2008,German Grand Prix,2008-07-20
WEB,Mark Webber,1976-08-27,Australian,27,,0.0,213.278,Engine,Germany,2008,German Grand Prix,2008-07-20
BUT,Jenson Button,1980-01-19,British,27,17.0,0.0,212.097,+1 Lap,Germany,2008,German Grand Prix,2008-07-20
VET,Sebastian Vettel,1987-07-03,German,27,8.0,1.0,214.484,Finished,Germany,2008,German Grand Prix,2008-07-20
FIS,Giancarlo Fisichella,1973-01-14,Italian,27,16.0,0.0,210.546,Finished,Germany,2008,German Grand Prix,2008-07-20
BAR,Rubens Barrichello,1972-05-23,Brazilian,27,,0.0,211.145,Collision,Germany,2008,German Grand Prix,2008-07-20
HAM,Lewis Hamilton,1985-01-07,British,31,7.0,2.0,232.44,Finished,Italy,2008,Italian Grand Prix,2008-09-14
HEI,Nick Heidfeld,1977-05-10,German,31,5.0,4.0,232.217,Finished,Italy,2008,Italian Grand Prix,2008-09-14
ROS,Nico Rosberg,1985-06-27,German,31,14.0,0.0,231.671,Finished,Italy,2008,Italian Grand Prix,2008-09-14
ALO,Fernando Alonso,1981-07-29,Spanish,31,4.0,5.0,231.82,Finished,Italy,2008,Italian Grand Prix,2008-09-14
KOV,Heikki Kovalainen,1981-10-19,Finnish,31,2.0,8.0,230.95,Finished,Italy,2008,Italian Grand Prix,2008-09-14
NAK,Kazuki Nakajima,1985-01-11,Japanese,31,12.0,0.0,231.167,Finished,Italy,2008,Italian Grand Prix,2008-09-14
BOU,Sébastien Bourdais,1979-02-28,French,31,18.0,0.0,233.646,+1 Lap,Italy,2008,Italian Grand Prix,2008-09-14
RAI,Kimi Räikkönen,1979-10-17,Finnish,31,9.0,0.0,236.859,Finished,Italy,2008,Italian Grand Prix,2008-09-14
KUB,Robert Kubica,1984-12-07,Polish,31,3.0,6.0,230.955,Finished,Italy,2008,Italian Grand Prix,2008-09-14
GLO,Timo Glock,1982-03-18,German,31,11.0,0.0,231.853,Finished,Italy,2008,Italian Grand Prix,2008-09-14
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,31,10.0,0.0,229.38,Finished,Italy,2008,Italian Grand Prix,2008-09-14
MAS,Felipe Massa,1981-04-25,Brazilian,31,6.0,3.0,232.505,Finished,Italy,2008,Italian Grand Prix,2008-09-14
COU,David Coulthard,1971-03-27,British,31,16.0,0.0,225.557,+1 Lap,Italy,2008,Italian Grand Prix,2008-09-14
TRU,Jarno Trulli,1974-07-13,Italian,31,13.0,0.0,229.544,Finished,Italy,2008,Italian Grand Prix,2008-09-14
SUT,Adrian Sutil,1983-01-11,German,31,19.0,0.0,223.146,+2 Laps,Italy,2008,Italian Grand Prix,2008-09-14
WEB,Mark Webber,1976-08-27,Australian,31,8.0,1.0,232.544,Finished,Italy,2008,Italian Grand Prix,2008-09-14
BUT,Jenson Button,1980-01-19,British,31,15.0,0.0,232.166,Finished,Italy,2008,Italian Grand Prix,2008-09-14
VET,Sebastian Vettel,1987-07-03,German,31,1.0,10.0,230.414,Finished,Italy,2008,Italian Grand Prix,2008-09-14
FIS,Giancarlo Fisichella,1973-01-14,Italian,31,,0.0,214.326,Accident,Italy,2008,Italian Grand Prix,2008-09-14
BAR,Rubens Barrichello,1972-05-23,Brazilian,31,17.0,0.0,222.053,+1 Lap,Italy,2008,Italian Grand Prix,2008-09-14
HAM,Lewis Hamilton,1985-01-07,British,32,3.0,6.0,171.969,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
HEI,Nick Heidfeld,1977-05-10,German,32,6.0,3.0,169.992,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
ROS,Nico Rosberg,1985-06-27,German,32,2.0,8.0,171.352,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
ALO,Fernando Alonso,1981-07-29,Spanish,32,1.0,10.0,172.464,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
KOV,Heikki Kovalainen,1981-10-19,Finnish,32,10.0,0.0,169.943,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
NAK,Kazuki Nakajima,1985-01-11,Japanese,32,8.0,1.0,170.022,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
BOU,Sébastien Bourdais,1979-02-28,French,32,12.0,0.0,169.181,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
RAI,Kimi Räikkönen,1979-10-17,Finnish,32,15.0,0.0,172.74,Accident,Singapore,2008,Singapore Grand Prix,2008-09-28
KUB,Robert Kubica,1984-12-07,Polish,32,11.0,0.0,170.639,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
GLO,Timo Glock,1982-03-18,German,32,4.0,5.0,170.408,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,32,,0.0,165.154,Accident,Singapore,2008,Singapore Grand Prix,2008-09-28
MAS,Felipe Massa,1981-04-25,Brazilian,32,13.0,0.0,172.482,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
COU,David Coulthard,1971-03-27,British,32,7.0,2.0,169.587,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
TRU,Jarno Trulli,1974-07-13,Italian,32,,0.0,170.523,Hydraulics,Singapore,2008,Singapore Grand Prix,2008-09-28
SUT,Adrian Sutil,1983-01-11,German,32,,0.0,166.936,Accident,Singapore,2008,Singapore Grand Prix,2008-09-28
WEB,Mark Webber,1976-08-27,Australian,32,,0.0,167.069,Transmission,Singapore,2008,Singapore Grand Prix,2008-09-28
BUT,Jenson Button,1980-01-19,British,32,9.0,0.0,168.7,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
VET,Sebastian Vettel,1987-07-03,German,32,5.0,4.0,170.047,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
FIS,Giancarlo Fisichella,1973-01-14,Italian,32,14.0,0.0,167.195,Finished,Singapore,2008,Singapore Grand Prix,2008-09-28
BAR,Rubens Barrichello,1972-05-23,Brazilian,32,,0.0,165.348,Mechanical,Singapore,2008,Singapore Grand Prix,2008-09-28
HAM,Lewis Hamilton,1985-01-07,British,36,3.0,6.0,221.083,Finished,Australia,2007,Australian Grand Prix,2007-03-18
HEI,Nick Heidfeld,1977-05-10,German,36,4.0,5.0,220.137,Finished,Australia,2007,Australian Grand Prix,2007-03-18
ROS,Nico Rosberg,1985-06-27,German,36,7.0,2.0,220.14,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
ALO,Fernando Alonso,1981-07-29,Spanish,36,2.0,8.0,221.178,Finished,Australia,2007,Australian Grand Prix,2007-03-18
KOV,Heikki Kovalainen,1981-10-19,Finnish,36,10.0,0.0,217.951,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
RAI,Kimi Räikkönen,1979-10-17,Finnish,36,1.0,10.0,223.978,Finished,Australia,2007,Australian Grand Prix,2007-03-18
KUB,Robert Kubica,1984-12-07,Polish,36,,0.0,220.341,Gearbox,Australia,2007,Australian Grand Prix,2007-03-18
SAT,Takuma Sato,1977-01-28,Japanese,36,12.0,0.0,215.746,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
MAS,Felipe Massa,1981-04-25,Brazilian,36,6.0,3.0,219.323,Finished,Australia,2007,Australian Grand Prix,2007-03-18
COU,David Coulthard,1971-03-27,British,36,,0.0,217.668,Collision,Australia,2007,Australian Grand Prix,2007-03-18
TRU,Jarno Trulli,1974-07-13,Italian,36,9.0,0.0,216.857,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
SUT,Adrian Sutil,1983-01-11,German,36,17.0,0.0,215.26,+2 Laps,Australia,2007,Australian Grand Prix,2007-03-18
WEB,Mark Webber,1976-08-27,Australian,36,13.0,0.0,218.178,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
BUT,Jenson Button,1980-01-19,British,36,15.0,0.0,215.991,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
DAV,Anthony Davidson,1979-04-18,British,36,16.0,0.0,215.742,+2 Laps,Australia,2007,Australian Grand Prix,2007-03-18
FIS,Giancarlo Fisichella,1973-01-14,Italian,36,5.0,4.0,219.707,Finished,Australia,2007,Australian Grand Prix,2007-03-18
BAR,Rubens Barrichello,1972-05-23,Brazilian,36,11.0,0.0,216.699,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
SCH,Ralf Schumacher,1975-06-30,German,36,8.0,1.0,217.444,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
LIU,Vitantonio Liuzzi,1980-08-06,Italian,36,14.0,0.0,216.247,+1 Lap,Australia,2007,Australian Grand Prix,2007-03-18
WUR,Alexander Wurz,1974-02-15,Austrian,36,,0.0,216.196,Collision,Australia,2007,Australian Grand Prix,2007-03-18
SPE,Scott Speed,1983-01-24,American,36,,0.0,214.616,Puncture,Australia,2007,Australian Grand Prix,2007-03-18
ALB,Christijan Albers,1979-04-16,Dutch,36,,0.0,210.022,Accident,Australia,2007,Australian Grand Prix,2007-03-18
HAM,Lewis Hamilton,1985-01-07,British,37,2.0,8.0,206.355,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
HEI,Nick Heidfeld,1977-05-10,German,37,4.0,5.0,204.838,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
ROS,Nico Rosberg,1985-06-27,German,37,,0.0,204.237,Hydraulics,Malaysia,2007,Malaysian Grand Prix,2007-04-08
ALO,Fernando Alonso,1981-07-29,Spanish,37,1.0,10.0,206.014,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
KOV,Heikki Kovalainen,1981-10-19,Finnish,37,8.0,1.0,204.015,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
RAI,Kimi Räikkönen,1979-10-17,Finnish,37,3.0,6.0,205.237,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
KUB,Robert Kubica,1984-12-07,Polish,37,18.0,0.0,201.82,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
SAT,Takuma Sato,1977-01-28,Japanese,37,13.0,0.0,202.595,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
MAS,Felipe Massa,1981-04-25,Brazilian,37,5.0,4.0,205.298,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
COU,David Coulthard,1971-03-27,British,37,,0.0,203.416,Brakes,Malaysia,2007,Malaysian Grand Prix,2007-04-08
TRU,Jarno Trulli,1974-07-13,Italian,37,7.0,2.0,203.587,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
SUT,Adrian Sutil,1983-01-11,German,37,,0.0,,Collision,Malaysia,2007,Malaysian Grand Prix,2007-04-08
WEB,Mark Webber,1976-08-27,Australian,37,10.0,0.0,202.504,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
BUT,Jenson Button,1980-01-19,British,37,12.0,0.0,202.262,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
DAV,Anthony Davidson,1979-04-18,British,37,16.0,0.0,200.417,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
FIS,Giancarlo Fisichella,1973-01-14,Italian,37,6.0,3.0,203.872,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
BAR,Rubens Barrichello,1972-05-23,Brazilian,37,11.0,0.0,202.451,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
SCH,Ralf Schumacher,1975-06-30,German,37,15.0,0.0,201.07,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
LIU,Vitantonio Liuzzi,1980-08-06,Italian,37,17.0,0.0,202.695,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
WUR,Alexander Wurz,1974-02-15,Austrian,37,9.0,0.0,203.903,Finished,Malaysia,2007,Malaysian Grand Prix,2007-04-08
SPE,Scott Speed,1983-01-24,American,37,14.0,0.0,201.364,+1 Lap,Malaysia,2007,Malaysian Grand Prix,2007-04-08
ALB,Christijan Albers,1979-04-16,Dutch,37,,0.0,196.608,Engine,Malaysia,2007,Malaysian Grand Prix,2007-04-08
HAM,Lewis Hamilton,1985-01-07,British,38,2.0,8.0,206.674,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
HEI,Nick Heidfeld,1977-05-10,German,38,4.0,5.0,206.236,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
ROS,Nico Rosberg,1985-06-27,German,38,10.0,0.0,203.893,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
ALO,Fernando Alonso,1981-07-29,Spanish,38,5.0,4.0,206.346,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
KOV,Heikki Kovalainen,1981-10-19,Finnish,38,9.0,0.0,204.065,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
RAI,Kimi Räikkönen,1979-10-17,Finnish,38,3.0,6.0,206.483,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
KUB,Robert Kubica,1984-12-07,Polish,38,6.0,3.0,205.477,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
SAT,Takuma Sato,1977-01-28,Japanese,38,,0.0,202.193,Engine,Bahrain,2007,Bahrain Grand Prix,2007-04-15
MAS,Felipe Massa,1981-04-25,Brazilian,38,1.0,10.0,207.12,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
COU,David Coulthard,1971-03-27,British,38,,0.0,204.26,Driveshaft,Bahrain,2007,Bahrain Grand Prix,2007-04-15
TRU,Jarno Trulli,1974-07-13,Italian,38,7.0,2.0,204.756,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
SUT,Adrian Sutil,1983-01-11,German,38,15.0,0.0,201.33,+4 Laps,Bahrain,2007,Bahrain Grand Prix,2007-04-15
WEB,Mark Webber,1976-08-27,Australian,38,,0.0,203.575,Gearbox,Bahrain,2007,Bahrain Grand Prix,2007-04-15
BUT,Jenson Button,1980-01-19,British,38,,0.0,,Collision,Bahrain,2007,Bahrain Grand Prix,2007-04-15
DAV,Anthony Davidson,1979-04-18,British,38,16.0,0.0,202.715,Engine,Bahrain,2007,Bahrain Grand Prix,2007-04-15
FIS,Giancarlo Fisichella,1973-01-14,Italian,38,8.0,1.0,204.655,Finished,Bahrain,2007,Bahrain Grand Prix,2007-04-15
